k	error
5 	0.50814690367
6 	0.488594761554
7 	0.305634287547
8 	0.347996906555
9 	0.292441350999
10 	0.225934281777
11 	0.235419630943
12 	0.124065718223
13 	0.216533443574
14 	0.205139763698
15 	0.168296900786
16 	0.178071905113
17 	0.152003093445
18 	0.155261428221
19 	0.0951079717572
20 	0.14185309633
21 	0.131451904411
22 	0.0848803632877
23 	0.112854513808
24 	0.0823990515559
